section,subsection,function_name,parameters,description,source_url
DataFrame,Constructor,DataFrame,"[data, index, columns, dtype, copy]","Two-dimensional, size-mutable, potentially heterogeneous tabular data.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.html
DataFrame,Attributes and underlying data,DataFrame.index,,The index (row labels) of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.index.html
DataFrame,Attributes and underlying data,DataFrame.columns,,The column labels of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.columns.html
DataFrame,Attributes and underlying data,DataFrame.dtypes,,Return the dtypes in the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.dtypes.html
DataFrame,Attributes and underlying data,DataFrame.info,"[verbose, buf, max_cols, ...]",Print a concise summary of a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.info.html
DataFrame,Attributes and underlying data,DataFrame.select_dtypes,"[include, exclude]",Return a subset of the DataFrame's columns based on the column dtypes.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.select_dtypes.html
DataFrame,Attributes and underlying data,DataFrame.values,,Return a Numpy representation of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.values.html
DataFrame,Attributes and underlying data,DataFrame.axes,,Return a list representing the axes of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.axes.html
DataFrame,Attributes and underlying data,DataFrame.ndim,,Return an int representing the number of axes / array dimensions.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.ndim.html
DataFrame,Attributes and underlying data,DataFrame.size,,Return an int representing the number of elements in this object.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.size.html
DataFrame,Attributes and underlying data,DataFrame.shape,,Return a tuple representing the dimensionality of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.shape.html
DataFrame,Attributes and underlying data,DataFrame.memory_usage,"[index, deep]",Return the memory usage of each column in bytes.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.memory_usage.html
DataFrame,Attributes and underlying data,DataFrame.empty,,Indicator whether Series/DataFrame is empty.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.empty.html
DataFrame,Attributes and underlying data,DataFrame.set_flags,"*[, copy, ...]",Return a new object with updated flags.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.set_flags.html
DataFrame,Conversion,DataFrame.astype,"dtype[, copy, errors]",Cast a pandas object to a specified dtype dtype .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.astype.html
DataFrame,Conversion,DataFrame.convert_dtypes,"[infer_objects, ...]",Convert columns from numpy dtypes to the best dtypes that support pd.NA .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.convert_dtypes.html
DataFrame,Conversion,DataFrame.infer_objects,[copy],Attempt to infer better dtypes for object columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.infer_objects.html
DataFrame,Conversion,DataFrame.copy,[deep],Make a copy of this object's indices and data.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.copy.html
DataFrame,Conversion,DataFrame.to_numpy,"[dtype, copy, na_value]",Convert the DataFrame to a NumPy array.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_numpy.html
DataFrame,"Indexing, iteration",DataFrame.head,[n],Return the first n rows.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.head.html
DataFrame,"Indexing, iteration",DataFrame.at,,Access a single value for a row/column label pair.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.at.html
DataFrame,"Indexing, iteration",DataFrame.iat,,Access a single value for a row/column pair by integer position.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.iat.html
DataFrame,"Indexing, iteration",DataFrame.loc,,Access a group of rows and columns by label(s) or a boolean array.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.loc.html
DataFrame,"Indexing, iteration",DataFrame.iloc,,Purely integer-location based indexing for selection by position.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.iloc.html
DataFrame,"Indexing, iteration",DataFrame.insert,"loc, column, value[, ...]",Insert column into DataFrame at specified location.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.insert.html
DataFrame,"Indexing, iteration",DataFrame.__iter__,,Iterate over info axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.__iter__.html
DataFrame,"Indexing, iteration",DataFrame.items,,"Iterate over (column name, Series) pairs.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.items.html
DataFrame,"Indexing, iteration",DataFrame.keys,,Get the 'info axis' (see Indexing for more).,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.keys.html
DataFrame,"Indexing, iteration",DataFrame.iterrows,,"Iterate over DataFrame rows as (index, Series) pairs.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.iterrows.html
DataFrame,"Indexing, iteration",DataFrame.itertuples,"[index, name]",Iterate over DataFrame rows as namedtuples.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.itertuples.html
DataFrame,"Indexing, iteration",DataFrame.pop,item,Return item and drop it from DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.pop.html
DataFrame,"Indexing, iteration",DataFrame.tail,[n],Return the last n rows.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.tail.html
DataFrame,"Indexing, iteration",DataFrame.xs,"key[, axis, level, drop_level]",Return cross-section from the Series/DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.xs.html
DataFrame,"Indexing, iteration",DataFrame.get,"key[, default]",Get item from object for given key (ex: DataFrame column).,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.get.html
DataFrame,"Indexing, iteration",DataFrame.isin,values,Whether each element in the DataFrame is contained in values.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.isin.html
DataFrame,"Indexing, iteration",DataFrame.where,"cond[, other, inplace, ...]",Replace values where the condition is False.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.where.html
DataFrame,"Indexing, iteration",DataFrame.mask,"cond[, other, inplace, axis, ...]",Replace values where the condition is True.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.mask.html
DataFrame,"Indexing, iteration",DataFrame.query,"expr, *[, parser, engine, ...]",Query the columns of a DataFrame with a boolean expression.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.query.html
DataFrame,"Indexing, iteration",DataFrame.isetitem,"loc, value",Set the given value in the column with position loc .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.isetitem.html
DataFrame,Binary operator functions,DataFrame.__add__,other,"Get Addition of DataFrame and other, column-wise.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.__add__.html
DataFrame,Binary operator functions,DataFrame.add,"other[, axis, level, fill_value]","Get Addition of dataframe and other, element-wise (binary operator add ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.add.html
DataFrame,Binary operator functions,DataFrame.sub,"other[, axis, level, fill_value]","Get Subtraction of dataframe and other, element-wise (binary operator sub ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sub.html
DataFrame,Binary operator functions,DataFrame.mul,"other[, axis, level, fill_value]","Get Multiplication of dataframe and other, element-wise (binary operator mul ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.mul.html
DataFrame,Binary operator functions,DataFrame.div,"other[, axis, level, fill_value]","Get Floating division of dataframe and other, element-wise (binary operator truediv ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.div.html
DataFrame,Binary operator functions,DataFrame.truediv,"other[, axis, level, ...]","Get Floating division of dataframe and other, element-wise (binary operator truediv ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.truediv.html
DataFrame,Binary operator functions,DataFrame.floordiv,"other[, axis, level, ...]","Get Integer division of dataframe and other, element-wise (binary operator floordiv ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.floordiv.html
DataFrame,Binary operator functions,DataFrame.mod,"other[, axis, level, fill_value]","Get Modulo of dataframe and other, element-wise (binary operator mod ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.mod.html
DataFrame,Binary operator functions,DataFrame.pow,"other[, axis, level, fill_value]","Get Exponential power of dataframe and other, element-wise (binary operator pow ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.pow.html
DataFrame,Binary operator functions,DataFrame.dot,other,Compute the matrix multiplication between the DataFrame and other.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.dot.html
DataFrame,Binary operator functions,DataFrame.radd,"other[, axis, level, fill_value]","Get Addition of dataframe and other, element-wise (binary operator radd ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.radd.html
DataFrame,Binary operator functions,DataFrame.rsub,"other[, axis, level, fill_value]","Get Subtraction of dataframe and other, element-wise (binary operator rsub ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rsub.html
DataFrame,Binary operator functions,DataFrame.rmul,"other[, axis, level, fill_value]","Get Multiplication of dataframe and other, element-wise (binary operator rmul ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rmul.html
DataFrame,Binary operator functions,DataFrame.rdiv,"other[, axis, level, fill_value]","Get Floating division of dataframe and other, element-wise (binary operator rtruediv ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rdiv.html
DataFrame,Binary operator functions,DataFrame.rtruediv,"other[, axis, level, ...]","Get Floating division of dataframe and other, element-wise (binary operator rtruediv ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rtruediv.html
DataFrame,Binary operator functions,DataFrame.rfloordiv,"other[, axis, level, ...]","Get Integer division of dataframe and other, element-wise (binary operator rfloordiv ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rfloordiv.html
DataFrame,Binary operator functions,DataFrame.rmod,"other[, axis, level, fill_value]","Get Modulo of dataframe and other, element-wise (binary operator rmod ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rmod.html
DataFrame,Binary operator functions,DataFrame.rpow,"other[, axis, level, fill_value]","Get Exponential power of dataframe and other, element-wise (binary operator rpow ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rpow.html
DataFrame,Binary operator functions,DataFrame.lt,"other[, axis, level]","Get Greater than of dataframe and other, element-wise (binary operator lt ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.lt.html
DataFrame,Binary operator functions,DataFrame.gt,"other[, axis, level]","Get Greater than of dataframe and other, element-wise (binary operator gt ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.gt.html
DataFrame,Binary operator functions,DataFrame.le,"other[, axis, level]","Get Greater than or equal to of dataframe and other, element-wise (binary operator le ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.le.html
DataFrame,Binary operator functions,DataFrame.ge,"other[, axis, level]","Get Greater than or equal to of dataframe and other, element-wise (binary operator ge ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.ge.html
DataFrame,Binary operator functions,DataFrame.ne,"other[, axis, level]","Get Not equal to of dataframe and other, element-wise (binary operator ne ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.ne.html
DataFrame,Binary operator functions,DataFrame.eq,"other[, axis, level]","Get Not equal to of dataframe and other, element-wise (binary operator eq ).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.eq.html
DataFrame,Binary operator functions,DataFrame.combine,"other, func[, fill_value, ...]",Perform column-wise combine with another DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.combine.html
DataFrame,Binary operator functions,DataFrame.combine_first,other,Update null elements with value in the same location in other .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.combine_first.html
DataFrame,"Function application, GroupBy & window",DataFrame.apply,"func[, axis, raw, ...]",Apply a function along an axis of the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.apply.html
DataFrame,"Function application, GroupBy & window",DataFrame.map,"func[, na_action]",Apply a function to a Dataframe elementwise.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.map.html
DataFrame,"Function application, GroupBy & window",DataFrame.pipe,"func, *args, **kwargs",Apply chainable functions that expect Series or DataFrames.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.pipe.html
DataFrame,"Function application, GroupBy & window",DataFrame.agg,"[func, axis]",Aggregate using one or more operations over the specified axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.agg.html
DataFrame,"Function application, GroupBy & window",DataFrame.aggregate,"[func, axis]",Aggregate using one or more operations over the specified axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.aggregate.html
DataFrame,"Function application, GroupBy & window",DataFrame.transform,"func[, axis]",Call func on self producing a DataFrame with the same axis shape as self.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.transform.html
DataFrame,"Function application, GroupBy & window",DataFrame.groupby,"[by, level, as_index, ...]",Group DataFrame using a mapper or by a Series of columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.groupby.html
DataFrame,"Function application, GroupBy & window",DataFrame.rolling,"window[, min_periods, ...]",Provide rolling window calculations.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rolling.html
DataFrame,"Function application, GroupBy & window",DataFrame.expanding,"[min_periods, method]",Provide expanding window calculations.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.expanding.html
DataFrame,"Function application, GroupBy & window",DataFrame.ewm,"[com, span, halflife, alpha, ...]",Provide exponentially weighted (EW) calculations.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.ewm.html
DataFrame,Computations / descriptive stats,DataFrame.abs,,Return a Series/DataFrame with absolute numeric value of each element.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.abs.html
DataFrame,Computations / descriptive stats,DataFrame.all,"*[, axis, bool_only, skipna]","Return whether all elements are True, potentially over an axis.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.all.html
DataFrame,Computations / descriptive stats,DataFrame.any,"*[, axis, bool_only, skipna]","Return whether any element is True, potentially over an axis.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.any.html
DataFrame,Computations / descriptive stats,DataFrame.clip,"[lower, upper, axis, inplace]",Trim values at input threshold(s).,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.clip.html
DataFrame,Computations / descriptive stats,DataFrame.corr,"[method, min_periods, ...]","Compute pairwise correlation of columns, excluding NA/null values.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.corr.html
DataFrame,Computations / descriptive stats,DataFrame.corrwith,"other[, axis, drop, ...]",Compute pairwise correlation.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.corrwith.html
DataFrame,Computations / descriptive stats,DataFrame.count,"[axis, numeric_only]",Count non-NA cells for each column or row.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.count.html
DataFrame,Computations / descriptive stats,DataFrame.cov,"[min_periods, ddof, numeric_only]","Compute pairwise covariance of columns, excluding NA/null values.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.cov.html
DataFrame,Computations / descriptive stats,DataFrame.cummax,"[axis, skipna, numeric_only]",Return cumulative maximum over a DataFrame or Series axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.cummax.html
DataFrame,Computations / descriptive stats,DataFrame.cummin,"[axis, skipna, numeric_only]",Return cumulative minimum over a DataFrame or Series axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.cummin.html
DataFrame,Computations / descriptive stats,DataFrame.cumprod,"[axis, skipna, numeric_only]",Return cumulative product over a DataFrame or Series axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.cumprod.html
DataFrame,Computations / descriptive stats,DataFrame.cumsum,"[axis, skipna, numeric_only]",Return cumulative sum over a DataFrame or Series axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.cumsum.html
DataFrame,Computations / descriptive stats,DataFrame.describe,"[percentiles, include, ...]",Generate descriptive statistics.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.describe.html
DataFrame,Computations / descriptive stats,DataFrame.diff,"[periods, axis]",First discrete difference of element.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.diff.html
DataFrame,Computations / descriptive stats,DataFrame.eval,"expr, *[, inplace]",Evaluate a string describing operations on DataFrame columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.eval.html
DataFrame,Computations / descriptive stats,DataFrame.kurt,"*[, axis, skipna, numeric_only]",Return unbiased kurtosis over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.kurt.html
DataFrame,Computations / descriptive stats,DataFrame.kurtosis,"*[, axis, skipna, ...]",Return unbiased kurtosis over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.kurtosis.html
DataFrame,Computations / descriptive stats,DataFrame.max,"*[, axis, skipna, numeric_only]",Return the maximum of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.max.html
DataFrame,Computations / descriptive stats,DataFrame.mean,"*[, axis, skipna, numeric_only]",Return the mean of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.mean.html
DataFrame,Computations / descriptive stats,DataFrame.median,"*[, axis, skipna, numeric_only]",Return the median of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.median.html
DataFrame,Computations / descriptive stats,DataFrame.min,"*[, axis, skipna, numeric_only]",Return the minimum of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.min.html
DataFrame,Computations / descriptive stats,DataFrame.mode,"[axis, numeric_only, dropna]",Get the mode(s) of each element along the selected axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.mode.html
DataFrame,Computations / descriptive stats,DataFrame.pct_change,"[periods, fill_method, ...]",Fractional change between the current and a prior element.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.pct_change.html
DataFrame,Computations / descriptive stats,DataFrame.prod,"*[, axis, skipna, ...]",Return the product of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.prod.html
DataFrame,Computations / descriptive stats,DataFrame.product,"*[, axis, skipna, ...]",Return the product of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.product.html
DataFrame,Computations / descriptive stats,DataFrame.quantile,"[q, axis, numeric_only, ...]",Return values at the given quantile over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.quantile.html
DataFrame,Computations / descriptive stats,DataFrame.rank,"[axis, method, numeric_only, ...]",Compute numerical data ranks (1 through n) along axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rank.html
DataFrame,Computations / descriptive stats,DataFrame.round,[decimals],Round numeric columns in a DataFrame to a variable number of decimal places.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.round.html
DataFrame,Computations / descriptive stats,DataFrame.sem,"*[, axis, skipna, ddof, ...]",Return unbiased standard error of the mean over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sem.html
DataFrame,Computations / descriptive stats,DataFrame.skew,"*[, axis, skipna, numeric_only]",Return unbiased skew over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.skew.html
DataFrame,Computations / descriptive stats,DataFrame.sum,"*[, axis, skipna, ...]",Return the sum of the values over the requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sum.html
DataFrame,Computations / descriptive stats,DataFrame.std,"*[, axis, skipna, ddof, ...]",Return sample standard deviation over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.std.html
DataFrame,Computations / descriptive stats,DataFrame.var,"*[, axis, skipna, ddof, ...]",Return unbiased variance over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.var.html
DataFrame,Computations / descriptive stats,DataFrame.nunique,"[axis, dropna]",Count number of distinct elements in specified axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.nunique.html
DataFrame,Computations / descriptive stats,DataFrame.value_counts,"[subset, normalize, ...]",Return a Series containing the frequency of each distinct row in the DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.value_counts.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.add_prefix,"prefix[, axis]",Prefix labels with string prefix .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.add_prefix.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.add_suffix,"suffix[, axis]",Suffix labels with string suffix .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.add_suffix.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.align,"other[, join, axis, level, ...]",Align two objects on their axes with the specified join method.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.align.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.at_time,"time[, asof, axis]","Select values at particular time of day (e.g., 9:30AM).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.at_time.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.between_time,"start_time, end_time","Select values between particular times of the day (e.g., 9:00-9:30 AM).",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.between_time.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.drop,"[labels, axis, index, ...]",Drop specified labels from rows or columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.drop.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.drop_duplicates,"[subset, keep, ...]",Return DataFrame with duplicate rows removed.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.drop_duplicates.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.duplicated,"[subset, keep]",Return boolean Series denoting duplicate rows.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.duplicated.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.equals,other,Test whether two objects contain the same elements.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.equals.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.filter,"[items, like, regex, axis]",Subset the DataFrame or Series according to the specified index labels.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.filter.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.idxmax,"[axis, skipna, numeric_only]",Return index of first occurrence of maximum over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.idxmax.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.idxmin,"[axis, skipna, numeric_only]",Return index of first occurrence of minimum over requested axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.idxmin.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.reindex,"[labels, index, columns, ...]",Conform DataFrame to new index with optional filling logic.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.reindex.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.reindex_like,"other[, method, ...]",Return an object with matching indices as other object.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.reindex_like.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.rename,"[mapper, index, columns, ...]",Rename columns or index labels.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rename.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.rename_axis,"[mapper, index, ...]",Set the name of the axis for the index or columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.rename_axis.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.reset_index,"[level, drop, ...]","Reset the index, or a level of it.",https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.reset_index.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.sample,"[n, frac, replace, ...]",Return a random sample of items from an axis of object.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sample.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.set_axis,"labels, *[, axis, copy]",Assign desired index to given axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.set_axis.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.set_index,"keys, *[, drop, append, ...]",Set the DataFrame index using existing columns.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.set_index.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.take,"indices[, axis]",Return the elements in the given positional indices along an axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.take.html
DataFrame,Reindexing / selection / label manipulation,DataFrame.truncate,"[before, after, axis, copy]",Truncate a Series or DataFrame before and after some index value.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.truncate.html
DataFrame,Missing data handling,DataFrame.bfill,"*[, axis, inplace, limit, ...]",Fill NA/NaN values by using the next valid observation to fill the gap.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.bfill.html
DataFrame,Missing data handling,DataFrame.dropna,"*[, axis, how, thresh, ...]",Remove missing values.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.dropna.html
DataFrame,Missing data handling,DataFrame.ffill,"*[, axis, inplace, limit, ...]",Fill NA/NaN values by propagating the last valid observation to next valid.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.ffill.html
DataFrame,Missing data handling,DataFrame.fillna,"value, *[, axis, inplace, ...]",Fill NA/NaN values with value .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.fillna.html
DataFrame,Missing data handling,DataFrame.interpolate,"[method, axis, limit, ...]",Fill NaN values using an interpolation method.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.interpolate.html
DataFrame,Missing data handling,DataFrame.isna,,Detect missing values.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.isna.html
DataFrame,Missing data handling,DataFrame.isnull,,DataFrame.isnull is an alias for DataFrame.isna.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.isnull.html
DataFrame,Missing data handling,DataFrame.notna,,Detect existing (non-missing) values.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.notna.html
DataFrame,Missing data handling,DataFrame.notnull,,DataFrame.notnull is an alias for DataFrame.notna.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.notnull.html
DataFrame,Missing data handling,DataFrame.replace,"[to_replace, value, ...]",Replace values given in to_replace with value .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.replace.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.droplevel,"level[, axis]",Return Series/DataFrame with requested index / column level(s) removed.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.droplevel.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.pivot,"*, columns[, index, values]",Return reshaped DataFrame organized by given index / column values.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.pivot.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.pivot_table,"[values, index, ...]",Create a spreadsheet-style pivot table as a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.pivot_table.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.reorder_levels,"order[, axis]",Rearrange index or column levels using input order .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.reorder_levels.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.sort_values,"by, *[, axis, ...]",Sort by the values along either axis.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sort_values.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.sort_index,"*[, axis, level, ...]",Sort object by labels (along an axis).,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sort_index.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.nlargest,"n, columns[, keep]",Return the first n rows ordered by columns in descending order.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.nlargest.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.nsmallest,"n, columns[, keep]",Return the first n rows ordered by columns in ascending order.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.nsmallest.html
DataFrame,"Reshaping, sorting, transposing",DataFrame.swaplevel,"[i, j, axis]",Swap levels i and j in a MultiIndex .,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.swaplevel.html
